center,left,right,steering,throttle,brake,speed
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_45_952.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_45_952.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_45_952.jpg,0,0,0,3.099324
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_042.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_042.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_042.jpg,0,0,0,3.074404
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_126.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_126.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_126.jpg,0,0,0,3.049686
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_217.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_217.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_217.jpg,0,0,0,3.019067
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_305.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_305.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_305.jpg,0,0,0,2.994792
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_399.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_399.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_399.jpg,0,0,0,2.964723
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_493.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_493.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_493.jpg,0,0,0,2.934956
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_583.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_583.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_583.jpg,0,0,0,2.91136
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_678.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_678.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_678.jpg,0,0,0,2.88214
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_768.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_768.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_768.jpg,0,0,0,2.858975
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_861.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_861.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_861.jpg,0,0,0,2.830281
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_46_954.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_46_954.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_46_954.jpg,0,0,0,2.801862
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_046.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_046.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_046.jpg,0,0,0,2.779332
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_139.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_139.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_139.jpg,0,0,0,2.751425
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_229.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_229.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_229.jpg,0,0,0,2.7293
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_324.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_324.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_324.jpg,0,0,0,2.701895
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_414.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_414.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_414.jpg,0,0,0,2.674764
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_505.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_505.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_505.jpg,0,0,0,2.653255
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_599.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_599.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_599.jpg,0,0,0,2.626612
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_691.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_691.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_691.jpg,-0.2,0,0,2.601668
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_783.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_783.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_783.jpg,-0.45,0,0,2.562439
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_872.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_872.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_872.jpg,-0.4413947,0,0,2.530491
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_47_947.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_47_947.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_47_947.jpg,-0.216234,0,0,2.518391
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_041.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_041.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_041.jpg,0,0,0,2.491433
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_147.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_147.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_147.jpg,-0.25,0,0,2.461615
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_255.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_255.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_255.jpg,-0.3876782,0,0,2.423115
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_322.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_322.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_322.jpg,-0.1796605,0,0,2.410603
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_396.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_396.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_396.jpg,-0.1674085,0,0,2.389598
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_484.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_484.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_484.jpg,-0.3674086,0,0,2.362941
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_571.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_571.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_571.jpg,-0.5674086,0,0,2.330917
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_658.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_658.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_658.jpg,-0.8174086,0,0,2.282501
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_741.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_741.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_741.jpg,-1,0,0,2.235344
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_810.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_810.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_810.jpg,-0.9169691,0,0,2.214045
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_902.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_902.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_902.jpg,-0.9826595,0,0,2.179278
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_48_995.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_48_995.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_48_995.jpg,-0.8991335,0,0,2.145288
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_082.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_082.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_082.jpg,-0.636858,0,0,2.13667
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_178.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_178.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_178.jpg,-0.3510945,0,0,2.123123
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_267.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_267.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_267.jpg,-0.08239599,0,0,2.107212
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_363.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_363.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_363.jpg,0,0,0,2.08495
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_455.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_455.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_455.jpg,0,0,0,2.064013
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_547.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_547.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_547.jpg,-0.15,0,0,2.045642
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_640.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_640.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_640.jpg,-0.4,0,0,2.016293
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_733.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_733.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_733.jpg,-0.6500001,0,0,1.980493
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_827.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_827.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_827.jpg,-0.8500001,0,0,1.945507
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_49_921.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_49_921.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_49_921.jpg,-1,0,0,1.897963
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_50_012.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_50_012.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_50_012.jpg,-1,0,0,1.864289
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_50_106.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_50_106.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_50_106.jpg,-0.7169616,0,0,1.85634
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_50_197.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_50_197.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_50_197.jpg,-0.445264,0,0,1.845731
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_50_291.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_50_291.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_50_291.jpg,-0.1617816,0,0,1.833679
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_50_386.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_50_386.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_50_386.jpg,0,0,0,1.814263
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_50_482.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_50_482.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_50_482.jpg,0,0,0,1.796039
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_50_575.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_50_575.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_50_575.jpg,-0.25,0,0,1.774058
D:\code\python\homework\behavior-cloning\data\IMG\center_2017_09_09_17_33_50_668.jpg,D:\code\python\homework\behavior-cloning\data\IMG\left_2017_09_09_17_33_50_668.jpg,D:\code\python\homework\behavior-cloning\data\IMG\right_2017_09_09_17_33_50_668.jpg,-0.45,0,0,1.752384
